year,model,price,mileage,color,transmission
2011,SEL,21992,7413,Yellow,AUTO
2011,SEL,20995,10926,Gray,AUTO
2011,SEL,19995,7351,Silver,MANUAL
2011,SEL,17809,11613,Gray,AUTO
2012,SE,17500,8367,White,AUTO
2010,SEL,17495,25125,Silver,AUTO
2011,SEL,17000,27393,Blue,AUTO
2010,SEL,16995,21026,Silver,MANUAL
2011,SES,16995,32655,Silver,AUTO
2010,SES,16995,36116,Silver,AUTO
2010,SES,16995,40539,Black,AUTO
2011,SES,16992,9199,Silver,AUTO
2011,SEL,16950,9388,Green,AUTO
2010,SES,16950,32058,Red,AUTO
2011,SE,16000,15367,White,AUTO
2011,SES,15999,16368,Blue,MANUAL
2010,SEL,15999,19926,Silver,AUTO
2010,SES,15995,36049,Silver,AUTO
2011,SEL,15992,11662,Blue,AUTO
2011,SEL,15992,32069,Silver,AUTO
2010,SES,15988,16035,Silver,MANUAL
2010,SEL,15980,39943,White,AUTO
2011,SE,15899,36685,Silver,AUTO
2010,SEL,15889,24920,Black,MANUAL
2009,SEL,15688,20019,Blue,AUTO
2010,SE,15500,29338,Blue,AUTO
